id	name	url	retrieved_utc	face	reason_code	judgment_call	reason_free_text
X-S4-01	Google Cloud Vision API — face detection emotion likelihood	https://docs.cloud.google.com/vision/docs/detecting-faces	2026-08-26T02:26Z	S4	E6	YES	The page publishes the four emotion fields (joyLikelihood, sorrowLikelihood, angerLikelihood, surpriseLikelihood) and the ordered enum UNKNOWN / VERY_UNLIKELY / UNLIKELY / POSSIBLE / LIKELY / VERY_LIKELY, i.e. a 6-value quantisation. But it is an API OUTPUT specification, not a DISPLAY specification: the page states nothing about how the value is rendered to a viewer. The Cloud console demo does show the words, but no public spec documents that rendering. Population definition requires a component that draws to a human viewer, so excluded. JUDGMENT CALL - recorded because this is otherwise the cleanest published quantisation found in S4.
X-S4-02	Amazon Rekognition DetectFaces — Emotion data type	https://docs.aws.amazon.com/rekognition/latest/APIReference/API_Emotion.html	2026-08-26T02:22Z	S4	E6	YES	Publishes Type in {HAPPY, SAD, ANGRY, CONFUSED, DISGUSTED, SURPRISED, CALM, UNKNOWN, FEAR} and Confidence 0..100, publicly and without login. Same reason as X-S4-01: API output spec with no published rendering. JUDGMENT CALL.
X-S4-03	Amazon Connect Contact Lens — sentiment score and sentiment trendline	https://docs.aws.amazon.com/connect/latest/adminguide/sentiment-scores.html (source mirror awsdocs/amazon-connect-admin-guide doc_source/sentiment-scores.md, commit 5e2aa716863dd253819cc150efc74f480bd2dac1)	2026-08-26T02:47Z	S4	E1	NO	Doc gives the -5..+5 score and the three per-turn classes but publishes no thresholds and no rendering rule; the only display described is a sentiment trendline image with no specified mapping. Mapping not readable. Separately, a trendline is a pi_traj component, which design doc v7 places outside this submission's audit family.
X-S4-04	Genesys Cloud — sentiment analysis markers	https://help.genesys.cloud/articles/work-with-sentiment-analysis/	2026-08-26T02:55Z	S4	E6	YES	Page retrieved anonymously (HTTP 200) and does describe green indicators for positive and red for negative on a -100..+100 scale with five trend values. However the retrievable text carrying those statements is the page's own "AI-generated summary" block, not vendor prose. Quoting a machine summary as a vendor display specification is not defensible under the citation-verification rule, so excluded. JUDGMENT CALL - re-checkable if a non-summary source is found.
X-S4-05	Hume AI — Expression Measurement (48 emotion dimensions)	https://dev.hume.ai/docs/expression-measurement/overview ; https://dev.hume.ai/docs/expression-measurement-api/overview ; https://dev.hume.ai/docs/expression-measurement/faq	2026-08-26T03:02Z	S4	E4	NO	All three documented paths returned the site's 404 / SPA shell on the retrieval date (the two that returned HTTP 200 returned byte-identical 546258-byte shells). No reachable vendor specification for the expression-measurement display. Note: the design doc names Hume as an intended vendor example, so this exclusion should be reported to the PI.
X-S4-06	Microsoft Azure Face — emotion attribute	https://learn.microsoft.com/en-us/azure/ai-services/computer-vision/concept-face-detection	2026-08-26T03:12Z	S4	E4	NO	Capability withdrawn. Page states verbatim: "Microsoft has retired or limited facial recognition capabilities that can be used to try to infer emotional states and identity attributes ... The retired capabilities are emotion and gender." No current emotion display spec exists. Substantively relevant to the paper as a regulatory-withdrawal datum.
X-S4-07	IBM Watson Tone Analyzer	https://cloud.ibm.com/docs/tone-analyzer	2026-08-26T03:10Z	S4	E4	NO	Documentation root returned HTTP 404 on the retrieval date; service discontinued. No reachable spec.
X-S4-08	Empath (Web Empath) — voice emotion API	https://webempath.com/	2026-08-26T03:15Z	S4	E4	YES	Public site returned HTTP 200 but the retrieved body contains no emotion-parameter or display description (JS-rendered marketing page); the API specification is supplied after developer registration. Third-party articles report five parameters (calm, anger, joy, sorrow, energy) on 0..50, but a third-party blog is not a vendor spec. No vendor-published display description reachable on the retrieval date. JUDGMENT CALL.
X-S3-01	npm namespace "@emotion/*" (babel-plugin, cache, css, styled, server, hash, sheet, jest, ...) and dependants (@mui/system, @chakra-ui/react, goober, @swc/plugin-emotion)	https://registry.npmjs.org/-/v1/search?text=emotion+visualization	2026-08-26T03:30Z	S3	E2	NO	The frozen npm query "emotion + visuali*" returns almost exclusively the Emotion CSS-in-JS library family. The construct is stylesheet authoring, not affect. 20 of 20 hits on both "emotion visualization" and "emotion visualize" were this family or its dependants. Recorded as a whole-query null result rather than 20 separate rows.
X-S3-02	npm "sentiment plot" hits: @observablehq/plot, sentiment@5.0.2, vader-sentiment, wink-sentiment, multilang-sentiment, crowd-sentiment, react-plotly.js, victory-box-plot, function-plot, uplot, nodeplotlib, @stdlib/plot, gl-plot2d, webgl-plot, @bokeh/bokehjs, @antv/g2-extension-plot, @sgratzl/chartjs-chart-boxplot, @uwdata/mosaic-plot, @types/sentiment, n8n-nodes-palatine-speech	https://registry.npmjs.org/-/v1/search?text=sentiment+plot	2026-08-26T03:30Z	S3	E3	NO	The query splits cleanly into two disjoint groups, neither of which is a candidate: scorers that return a number and draw nothing (sentiment, vader-sentiment, wink-sentiment, multilang-sentiment, crowd-sentiment), and construct-agnostic plotting libraries that know nothing about affect (Observable Plot, Plotly, Victory, uPlot, Bokeh, ...). No package in the result set both estimates affect and draws it.
