id	name	url	retrieved_utc	version_or_sha	face	source_type	state_space	render_space	B_levels	cost_glyphs	cost_area	cost_symbol_vocab	decision	reason_code	evidence_locus	notes
V-01	Microsoft Dynamics 365 Customer Service — real-time customer sentiment indicator	https://learn.microsoft.com/en-us/dynamics365/customer-service/use/oc-monitor-real-time-customer-sentiment-sessions	2026-08-26T02:24Z	doc-source commit 57426a42436e2b1ae5b2cc35e071f17539a1cd07 (2026-07-31; MicrosoftDocs/dynamics-365-customer-engagement, ce/customer-service/use/oc-monitor-real-time-customer-sentiment-sessions.md)	S4	(b) vendor public spec	documented 7-level customer sentiment computed over the six most recent customer messages: Very positive / Positive / Slightly positive / Neutral / Slightly negative / Negative / Very negative	7 distinct icons (media/sentiment-very-positive.png ... sentiment-very-negative.png), shown at the top of the communication panel	7	1	one icon at top of communication panel	7	INCLUDE	-	article body table with columns "Sentiment | Icon" listing all 7 rows; UI location sentence "A customer's real-time sentiment is displayed at the top of the communication panel."	Mapping is deterministic at the level->icon layer. The numeric-score -> level thresholds are NOT published; state space is therefore taken as the 7 documented levels. Recorded as a known limit.
V-02	Qualtrics XM Discover — sentiment scale segments (thumb icons + colour bands)	https://www.qualtrics.com/support/xm-discover/data-enrichments/sentiment-discover/	2026-08-26T02:31Z	no version identifier published by vendor; anonymous snapshot saved as raw_s4/qualtrics_xmdiscover.html (HTTP 200, no login)	S4	(b) vendor public spec	sentence-level sentiment score on a -5..+5 scale	5 bands with published numeric cut points: Strongly Negative (< -2.5) dark red; Negative (-2.5..-1) red; Neutral (-1..1) grey; Positive (1..2.5) green; Strongly Positive (> 2.5) dark green. Rendered as thumb icons coloured by band; sentiment-bearing words highlighted with the matching background colour. A 3-point option collapses to negative/neutral/positive.	5 (3 in the reduced option)	1	one thumb icon plus word-level background highlight	5	INCLUDE	-	"Scale Segment / Default Range / Default Color" table in the article body; sentence "When adding sentiment to widgets, you can often choose between a 3 and 5 point scale."	Strongest vendor case: the score->band thresholds are published numerically, so state->drawing is fully determined without interpretation.
V-03	Qualtrics Text iQ — response-list sentiment icon	https://www.qualtrics.com/support/survey-platform/data-and-analysis-module/text-iq/sentiment-analysis/	2026-08-26T02:38Z	no version identifier published by vendor; anonymous snapshot saved as raw_s4/qualtrics_textiq.html (HTTP 200, no login)	S4	(b) vendor public spec	sentiment label in {Very Negative, Negative, Neutral, Mixed, Positive, Very Positive} plus a Sentiment Score on -2..+2	6 icons to the left of each response: 2 red down arrows = Very Negative; 1 red down arrow = Negative; overlapping grey diamonds = Mixed; grey diamond = Neutral; 1 green up arrow = Positive; 2 green up arrows = Very Positive	6	1	one icon to the left of each response row	6	INCLUDE	-	verbatim from page body: "There will be an icon to the left of each response indicating sentiment. This represents the sentiment score." followed by the six caption lines "2 red down arrows: Very Negative." ... "Gray diamond: Neutral."	E5 check vs V-02: NOT a duplicate. Different Qualtrics product (Survey Platform Text iQ vs XM Discover), different numeric scale (-2..+2 vs -5..+5), different label set (6 incl. Mixed vs 5), different glyph vocabulary (arrows/diamonds vs thumbs). Counted as a separate display component; the two are the only same-vendor pair in the S4 set.
V-04	Zendesk intelligent triage — ticket sentiment field with confidence	https://support.zendesk.com/hc/en-us/articles/4685355428250-Viewing-intelligent-triage-predictions-in-tickets	2026-08-26T02:52Z	no version identifier published by vendor; anonymous snapshot saved as raw_s4/zendesk_triage.html (HTTP 200, no login)	S4	(b) vendor public spec	sentiment in {Very positive, Positive, Neutral, Negative, Very negative} crossed with a confidence level in {High, Medium, Low}	two text fields rendered in the ticket header and in the ticket fields panel: the sentiment label and its confidence level	5 x 3 = 15 displayed combinations; confidence itself is B=3	2	two text fields in ticket header / ticket fields panel	8 (5 sentiment words + 3 confidence words)	INCLUDE	-	page body: "See the ticket's topic, language, and sentiment, along with confidence levels, in the ticket fields or header"; "Confidence is either High, Medium, or Low."; the five sentiment values are each defined in the "Sentiment and Sentiment confidence" list	Directly an instance of the pi_{top1+conf} family with a very coarse 3-level confidence. Useful for the m* argument.
V-05	Noldus FaceReader 10 — expression bar graphs, pie chart and circumplex	https://noldus.com/download/document/facereader-technical-specifications	2026-08-26T03:05Z	"FaceReader 10 Technical specifications" PDF; sha256 732501677abcdf33f2914b26006463bae82606197ffe412f77b7188f3ac33cd5; local copy raw_s4/facereader_specs.pdf	S4	(b) vendor public spec	6 basic expressions (happy, sad, angry, surprised, scared, disgusted) plus neutral and contempt, each a continuous value in 0..1; valence in -1..1; arousal in 0..1	simultaneous multi-view: bar graph per expression (length proportional to intensity), optional line graph, pie chart giving percentage per emotion, and a circumplex point with valence on x and arousal on y	continuous (bar length proportional to the 0..1 value); pie shown as percentage per emotion	8 bars + 1 pie + 1 point	main screen areas 1 (bar graphs), 2 (line graphs), 3 (circumplex model of affect)	8 expression labels	INCLUDE	-	spec body: "The primary output is a continuous value between 0 and 1 per expression"; "All emotions are represented as bar graphs and can also be displayed as a line graph."; "Data are also visualized in a pie chart, showing the percentage per emotion."; "in this model, valence is displayed on the horizontal axis. On the vertical axis the level of arousal is shown."; figure caption "Main screen of FaceReader. Main areas: 1. bar graphs; 2. line graphs expressions; 3. circumplex model of affect; 4. original image; 5. analysis view"	Only S4 case that is facial-expression rather than text valence, and the only one showing a full categorical distribution. Balances the vendor set.
C-01	deepface — streaming.py overlay_emotion	https://github.com/serengil/deepface	2026-08-26T02:16Z	commit a2a24a748d67ab7ba19ee8813584f123c8b48747 (2026-08-24), MIT, 23,335 stars	S2 (surfaced via GitZhiQing/emotion-recognition-demo under query "emotion-recognition demo"; audited upstream per E5 upstream rule)	(a) public source code	7-way softmax over labels = ["angry","disgust","fear","happy","sad","surprise","neutral"], each score on 0..100	all 7 rows drawn, sorted by score descending: label text plus a filled white bar whose pixel length is bar_x = int(35 * score/100)	36 per bar (integer pixel lengths 0..35); row order encodes the full rank permutation	7 text labels + 7 bars	112 px wide side panel (IDENTIFIED_IMG_SIZE), rows at 20 px pitch	7 emotion words	INCLUDE	-	deepface/modules/streaming.py, function overlay_emotion (lines 868-975): emotion_df sorted descending, then bar_x = int(filled_bar_x * emotion_score) with filled_bar_x = 35; label set at deepface/models/demography/Emotion.py line 32	Fully deterministic, single time point. Rows can be clipped when text_location_y exceeds the face box, so the number of visible rows depends on face height - recorded as a conditional branch in the mapping.
C-02	OpenVINO Open Model Zoo — interactive_face_detection_demo EmotionBarVisualizer	https://github.com/openvinotoolkit/open_model_zoo	2026-08-26T02:16Z	commit 4d4266fbbb7eb5ab80944c2800d7f304868d573d (2026-08-24), Apache-2.0, 4,419 stars	S1 (query "emotion bar")	(a) public source code	softmax over 5 emotions from emotions-recognition-retail-0003: (0) neutral, (1) happy, (2) sad, (3) surprise, (4) anger	5 stacked rows, each = label text plus an outlined rectangle filled to width = int(track_width * value); default panel 300x140 px, padding 10 px	continuous in principle; quantised to integer pixels of the track width (track = 300 - 2*10 - (textWidth of longest label + 10) at FONT_HERSHEY_COMPLEX_SMALL scale 1)	5 text labels + 5 bars	one 300x140 px overlay cell per face, tiled into a grid	5 emotion words	INCLUDE	-	demos/interactive_face_detection_demo/cpp/visualizer.cpp lines 15-52 (EmotionBarVisualizer::draw and the drawEmotion lambda: r.width = static_cast<int>(r.width * value)); defaults in visualizer.hpp line 23; label set in models/intel/emotions-recognition-retail-0003/README.md lines 49-50	Bar quantisation is deterministic but depends on cv::getTextSize font metrics for the longest label, so B must be reported as a formula rather than a bare integer.
C-03	Py-Feat — plot_detections emotion barplot and iplot_detections numeric annotation	https://github.com/cosanlab/py-feat	2026-08-26T02:18Z	commit 64ed4b172da1f2e5beb40b8c9692c40a39daf651 (2026-08-04), version 2.1.1, 382 stars	S5 (published implementation of the Py-Feat toolbox) + S3 (PyPI)	(a) public source code	FEAT_EMOTION_COLUMNS = ["anger","disgust","fear","happiness","sadness","surprise","neutral"], 7 continuous scores	two distinct primitives in one package: (i) matplotlib horizontal bar chart of all 7 emotions (plot_data.emotions.T.plot(kind="barh")); (ii) plotly text annotation per face, one line per emotion, formatted "{emotion}: {value:.2f}"	(i) continuous bar length; (ii) 101 levels (0.00 to 1.00 at 2-decimal rounding)	(i) 7 bars; (ii) 7 text lines	(i) one subplot; (ii) a text block anchored beside the face box	7 emotion words	INCLUDE	-	feat/data.py line 2051 (barh) and lines 2266-2268 (emotion_text += f"{emotion}: <i>{emotion_dict[emotion]:.2f}</i><br>"); label set at feat/utils/__init__.py lines 18-26; version at feat/version.py	Valuable because one package ships both a continuous-length primitive and a hard 101-level numeric primitive over the identical state space - a within-package same-screen-cost contrast for G3-b.
C-04	face-api.js — drawFaceExpressions	https://github.com/justadudewhohacks/face-api.js	2026-08-26T02:16Z	commit a86f011d72124e5fb93e59d5c4ab98f699dd5c9c (2020-04-22, repo not archived, last push 2024-01-24), MIT, 17,945 stars	S2 (surfaced via huajiejin/facial-emotion-recognition, which depends on face-api.js ^0.22.2; audited upstream per E5 upstream rule)	(a) public source code	FACE_EXPRESSION_LABELS = ["neutral","happy","sad","angry","fearful","disgusted","surprised"], 7 probabilities	a text field listing only the expressions with probability > minConfidence (default 0.1), sorted descending, each rendered as "{expression} ({round(probability)})" where round is floor to 2 decimals	91 displayed values per shown expression (0.10 to 1.00 in 0.01 steps); the number of rows shown is itself state-dependent (0 to 7)	1 to 7 text lines in one boxed field	one DrawTextField, fontSize 14, padding 4	7 expression words	INCLUDE	-	src/draw/drawFaceExpressions.ts (sorted = expr.asSortedArray(); resultsToDisplay = sorted.filter(expr => expr.probability > minConfidence); template `${expr.expression} (${round(expr.probability)})`); round defined at src/utils/index.ts lines 34-37 as Math.floor(num * f) / f with prec = 2; label set at src/faceExpressionNet/FaceExpressions.ts line 1	The threshold filter makes the number of rendered rows part of the encoding - a clean case where the display collapses every state with p <= 0.1 to "absent".
C-05	ROS4HRI hri_visualization — expression emoji overlay	https://github.com/ros4hri/hri_visualization	2026-08-26T02:16Z	commit cad9b32d088f62e7701608559c83b154229672c5 (2025-07-09), Apache-2.0	S1 (query "emotion emoji")	(a) public source code	hri_msgs/Expression enumerates 25 categorical expression constants (NEUTRAL, ANGRY, SAD, HAPPY, SURPRISED, DISGUSTED, SCARED, PLEADING, VULNERABLE, DESPAIRED, GUILTY, DISAPPOINTED, EMBARRASSED, HORRIFIED, SKEPTICAL, ANNOYED, FURIOUS, SUSPICIOUS, REJECTED, BORED, TIRED, ASLEEP, CONFUSED, AMAZED, EXCITED)	a single emoji PNG drawn in a circle beside the face box, loaded by filename f"{expression.lower()}.png" from images/	glyph vocabulary of exactly 6 (angry, happy, neutral, sad, scared, surprised); the other 19 states load nothing and draw nothing	1 glyph	one circular emoji beside the face box	6 glyphs against a 25-value state space	INCLUDE	-	hri_visualization/visualization.py lines 202-214 (get_expression_image builds the filename and returns None if absent) and lines 592-596 (drawn only "if emoji is not None"); glyph inventory = the 6 PNGs in images/; state enum from ros4hri/hri_msgs msg/Expression.msg	HEADLINE CASE for the paper: the drawing vocabulary (6) is strictly smaller than the published state vocabulary (25), and the 19 unmapped states collapse to no display at all. This is a jumbler in the Mackinlay-condition-(1) sense, readable directly from source without any human interpretation.
